892 2517
850 506 781
837 785 25
641 856 33
603 392 33
130 390 831
15 851 314
150 685 704
285 830 733
706 345 844
222 255 253
700 366 855
382 676 365
29 484 398
836 472 162
197 97 796
744 488 650
786 622 744
177 629 407
726 792 319
400 360 784
28 458 578
697 166 118
312 220 12
315 368 861
406 864 166
766 705 930
161 858 275
477 738 744
756 187 456
483 579 266
693 877 896
611 286 331
532 720 210
121 344 834
664 384 959
873 424 899
500 26 973
68 519 680
235 672 366
94 533 66
730 811 802
746 396 444
28 49 93
719 293 743
530 753 517
372 538 36
814 196 550
463 205 54
26 217 292
246 101 728
667 70 874
770 91 861
84 113 227
99 260 26
798 276 42
648 124 708
681 190 622
812 197 539
664 726 120
203 354 350
784 849 571
537 608 392
288 600 626
460 548 890
157 7 823
252 603 277
233 884 430
852 890 656
405 413 907
681 13 10
453 155 526
476 798 429
29 136 431
657 291 559
778 453 669
691 75 930
487 256 354
103 305 551
657 143 923
778 429 353
785 257 281
662 419 966
556 475 329
392 373 194
586 278 2
721 499 30
598 334 644
737 193 316
314 695 394
299 30 344
736 162 97
249 13 242
29 95 614
789 380 278
142 752 395
874 449 458
729 208 897
543 74 351
64 411 490
179 348 563
538 739 514
217 249 686
824 784 602
569 288 270
299 309 378
428 628 632
745 603 463
101 124 869
450 352 495
786 124 719
89 165 802
113 667 460
313 13 587
593 260 444
329 860 400
767 74 715
318 779 148
529 474 118
372 126 502
226 153 602
380 192 650
535 136 249
126 636 762
808 664 505
103 457 774
716 413 547
721 362 202
157 569 155
863 560 161
751 491 13
409 640 469
147 579 392
74 597 39
104 305 166
68 889 782
773 319 99
7 144 413
356 138 776
549 402 438
596 71 327
345 168 620
585 313 401
30 461 67
229 39 228
220 677 189
744 569 462
125 410 69
664 263 380
172 333 507
550 403 638
645 494 188
138 504 836
733 115 460
281 504 134
806 156 668
616 414 582
474 3 806
686 446 940
2 523 762
380 430 846
77 884 868
667 27 482
47 51 447
706 238 382
334 175 952
539 671 574
660 118 51
751 469 182
274 523 643
13 468 447
486 323 245
565 125 112
54 483 358
96 647 43
675 246 501
502 458 592
456 37 82
4 414 627
692 412 922
836 30 432
729 108 126
767 199 740
3 280 25
558 608 862
657 667 562
122 867 194
